idx,ra,dec
0,140.133199194747,-70.04783490924879
1,87.47872752091031,27.05892571824469
2,117.70948431791359,-35.09959549289103
3,39.735040120038086,56.856809708649514
4,206.72766269227,-59.54597240466775
5,297.7405207097655,40.347878297960214
6,291.557051370994,20.019015412294024
7,342.7616629124253,55.36993618270457
8,1.0258803345795946,58.464322757771626
9,34.076307413346804,59.46811954021822
10,97.42413081145133,-36.04113176142591
11,86.26656417432494,-34.97397533437525
12,69.72915629191046,-40.54226533255515
13,66.64897992867782,-49.73236176215375
14,112.44823021500478,-53.965769062588194
15,169.1152814598594,-60.17161889131033
16,28.51142054894173,-73.60020643183535
17,203.11985076015398,-58.5364034064906
18,300.30898126845636,19.897096246057167
19,326.8219176809008,66.43105443599514
20,245.0740506675473,-44.89366143240877
21,166.1435884437449,-67.53353376495915
22,316.66401642896545,46.99925601686137
23,314.6182168211135,38.7506799455517
24,344.1119077944012,51.13874006898766
25,152.00129127054743,-70.58094873907494
26,299.8604008799629,38.669826751433156
27,356.5539622436839,71.96629039633035
28,99.98205481285426,-27.185892179151228
